"","Year","Month","Day","Maximum.temperature..Degree.C."
"710",2015,"May",11,15.9
"711",2015,"May",12,17.4
"712",2015,"May",13,12.8
"713",2015,"May",14,14.6
"714",2015,"May",15,14.5
"715",2015,"May",16,16.2
"716",2015,"May",17,20.5
"717",2015,"May",18,20.4
"718",2015,"May",19,16.2
"719",2015,"May",20,18.1
"720",2015,"May",21,13.6
"721",2015,"May",22,14.1
"722",2015,"May",23,13.3
"723",2015,"May",24,15.6
"724",2015,"May",25,17.1
"725",2015,"May",26,15.6
"726",2015,"May",27,18.7
"727",2015,"May",28,19.7
"728",2015,"May",29,15.8
"729",2015,"May",30,17.3
"730",2015,"May",31,16.8
"731",2015,"June",1,12.2
"732",2015,"June",2,11.4
"733",2015,"June",3,13.6
"734",2015,"June",4,11.3
"735",2015,"June",5,15
"736",2015,"June",6,16.6
"737",2015,"June",7,14.5
"738",2015,"June",8,18.5
"739",2015,"June",9,13.5
"740",2015,"June",10,13.4
"741",2015,"June",11,14
"742",2015,"June",12,13.1
"743",2015,"June",13,18.2
"744",2015,"June",14,17.4
"745",2015,"June",15,16.9
"746",2015,"June",16,16.1
"747",2015,"June",17,13.8
"748",2015,"June",18,12.7
"749",2015,"June",19,12.4
"750",2015,"June",20,11.6
"751",2015,"June",21,12.9
"752",2015,"June",22,14.1
"753",2015,"June",23,17.6
"754",2015,"June",24,16
"755",2015,"June",25,14
"756",2015,"June",26,16.9
"757",2015,"June",27,14.1
"758",2015,"June",28,14.5
"759",2015,"June",29,12.3
"760",2015,"June",30,14.2
"761",2015,"July",1,15
"762",2015,"July",2,11.9
"763",2015,"July",3,12
"764",2015,"July",4,10.6
"765",2015,"July",5,14.9
"766",2015,"July",6,11.5
"767",2015,"July",7,14.2
"768",2015,"July",8,14.8
"769",2015,"July",9,13.4
"770",2015,"July",10,14.3
"771",2015,"July",11,13.1
"772",2015,"July",12,12.3
"773",2015,"July",13,12.7
"774",2015,"July",14,9.8
"775",2015,"July",15,10.5
"776",2015,"July",16,12.3
"777",2015,"July",17,12.3
"778",2015,"July",18,11.5
"779",2015,"July",19,12.1
"780",2015,"July",20,14.7
"781",2015,"July",21,17
"782",2015,"July",22,16.6
"783",2015,"July",23,16.1
"784",2015,"July",24,15
"785",2015,"July",25,13.3
"786",2015,"July",26,11.6
"787",2015,"July",27,13.9
"788",2015,"July",28,14.4
"789",2015,"July",29,14
"790",2015,"July",30,12.3
"791",2015,"July",31,14
"792",2015,"August",1,11.4
"793",2015,"August",2,14.9
"794",2015,"August",3,10.8
"795",2015,"August",4,11.3
"796",2015,"August",5,10.8
"797",2015,"August",6,12.8
"798",2015,"August",7,13.1
"799",2015,"August",8,12.6
"800",2015,"August",9,13.3
"801",2015,"August",10,16
"802",2015,"August",11,14.8
"803",2015,"August",12,14.8
"804",2015,"August",13,13
"805",2015,"August",14,15.3
"806",2015,"August",15,14.9
"807",2015,"August",16,17
"808",2015,"August",17,12.2
"809",2015,"August",18,11.1
"810",2015,"August",19,12.7
"811",2015,"August",20,17.1
"812",2015,"August",21,18.7
"813",2015,"August",22,18.8
"814",2015,"August",23,16.3
"815",2015,"August",24,14.5
"816",2015,"August",25,14.3
"817",2015,"August",26,14.6
"818",2015,"August",27,11.7
"819",2015,"August",28,13.2
"820",2015,"August",29,11.7
"821",2015,"August",30,12.5
"822",2015,"August",31,13
"823",2015,"September",1,16.2
"824",2015,"September",2,18.8
"825",2015,"September",3,14
"826",2015,"September",4,13.7
"827",2015,"September",5,14
"828",2015,"September",6,16.6
"829",2015,"September",7,13.6
"830",2015,"September",8,12.8
"831",2015,"September",9,15.3
"832",2015,"September",10,15.7
"833",2015,"September",11,20.1
"834",2015,"September",12,21.7
"835",2015,"September",13,25.5
"836",2015,"September",14,26.7
"837",2015,"September",15,15.9
"838",2015,"September",16,14.8
"839",2015,"September",17,14.3
"840",2015,"September",18,14.7
"841",2015,"September",19,21.3
"842",2015,"September",20,22.9
"843",2015,"September",21,18.1
"844",2015,"September",22,12.7
"845",2015,"September",23,12.6
"846",2015,"September",24,14.3
"847",2015,"September",25,19.1
"848",2015,"September",26,17.9
"849",2015,"September",27,20.2
"850",2015,"September",28,21.4
"851",2015,"September",29,16.9
"852",2015,"September",30,15.9
"853",2015,"October",1,21.6
"854",2015,"October",2,28.6
"855",2015,"October",3,31.3
"856",2015,"October",4,24.9
"857",2015,"October",5,34.4
"858",2015,"October",6,35.8
"859",2015,"October",7,16.2
"860",2015,"October",8,18.6
"861",2015,"October",9,29.9
"862",2015,"October",10,29.2
"863",2015,"October",11,19.2
"864",2015,"October",12,16.1
"865",2015,"October",13,17.6
"866",2015,"October",14,28.6
"867",2015,"October",15,34
"868",2015,"October",16,23.8
"869",2015,"October",17,20.5
"870",2015,"October",18,17.7
"871",2015,"October",19,26.7
"872",2015,"October",20,31.8
"873",2015,"October",21,18.3
"874",2015,"October",22,16.7
"875",2015,"October",23,16.4
"876",2015,"October",24,19.5
"877",2015,"October",25,31.3
"878",2015,"October",26,15.9
"879",2015,"October",27,23.3
"880",2015,"October",28,26.8
"881",2015,"October",29,26.1
"882",2015,"October",30,27.4
"883",2015,"October",31,25.9
"884",2015,"November",1,26
"885",2015,"November",2,16
"886",2015,"November",3,17.9
"887",2015,"November",4,27.2
"888",2015,"November",5,24.7
"889",2015,"November",6,18.7
"890",2015,"November",7,16.8
"891",2015,"November",8,24.8
"892",2015,"November",9,33.1
"893",2015,"November",10,16.4
"894",2015,"November",11,20.1
"895",2015,"November",12,21.2
"896",2015,"November",13,18.2
"897",2015,"November",14,18.3
"898",2015,"November",15,18.5
"899",2015,"November",16,26.3
"900",2015,"November",17,33.3
"901",2015,"November",18,29.5
"902",2015,"November",19,31.5
"903",2015,"November",20,19.1
"904",2015,"November",21,17.5
"905",2015,"November",22,20
"906",2015,"November",23,20.7
"907",2015,"November",24,24.5
"908",2015,"November",25,33.3
"909",2015,"November",26,17.4
"910",2015,"November",27,18.2
"911",2015,"November",28,20.1
"912",2015,"November",29,20.3
"913",2015,"November",30,32.2
"914",2015,"December",1,24.6
"915",2015,"December",2,17.5
"916",2015,"December",3,21.3
"917",2015,"December",4,30.8
"918",2015,"December",5,25.3
"919",2015,"December",6,29.8
"920",2015,"December",7,27.3
"921",2015,"December",8,35.4
"922",2015,"December",9,24.6
"923",2015,"December",10,26
"924",2015,"December",11,19.2
